"","Control","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12"
"Dapma7bEVm001238","7.284467","6.999592","7.175285","7.191098","7.110724","7.059288","7.287832","7.331087","7.139864","7.099210","7.282055","7.119735","7.236812"
"Dapma7bEVm001239","2.601232","3.784706","3.241272","3.908457","3.545073","2.165101","3.777387","3.792789","3.102496","3.559276","3.439477","4.636712","3.528085"
"Dapma7bEVm001240","5.955727","6.372970","5.828128","6.075007","6.224348","6.311580","6.186466","6.076060","6.612146","5.936542","5.848654","4.923529","4.892587"
"Dapma7bEVm001241","3.436099","4.045608","4.039016","3.827226","4.390720","4.514082","4.610956","4.291146","3.014165","3.916803","4.182869","3.717737","4.416493"
"Dapma7bEVm001242","10.60254","10.70362","10.69237","10.84742","10.82254","10.74520","10.63372","10.89103","10.75048","10.75338","10.67633","11.04248","11.27052"
"Dapma7bEVm001243","5.471518","4.590214","5.236592","5.165381","4.636410","5.313072","5.676843","4.898394","5.316092","5.139182","5.190397","5.444109","5.308764"
"Dapma7bEVm001244","10.517805"," 8.291004"," 9.070872"," 8.923784"," 8.697611"," 7.890792"," 7.757669"," 8.639956"," 8.257410"," 8.634733"," 8.391224"," 9.124138"," 9.178552"
"Dapma7bEVm001245","4.994000","4.493522","4.521209","4.241814","4.362226","4.013838","4.099125","4.861541","4.305938","4.244340","4.362977","4.520610","5.106459"
"Dapma7bEVm001246","4.340454","4.614560","4.994200","4.774142","5.084583","4.904432","5.291952","4.262049","4.866769","4.945384","4.572769","4.472085","4.370731"
"Dapma7bEVm001247","5.835311","5.905884","6.197135","6.009281","5.989280","5.927606","6.224587","6.364793","5.758746","6.233788","5.994334","5.854185","6.027860"
"Dapma7bEVm001248","6.026959","5.872403","6.131345","5.999425","5.708581","5.883106","6.053399","5.984966","5.801111","5.649508","6.143753","6.044346","5.791717"
"Dapma7bEVm001249","5.856157","5.385717","5.611954","5.428730","5.386896","5.478373","5.427722","5.360246","5.520870","5.336452","5.633128","5.805403","5.696476"
"Dapma7bEVm001250","5.753598","5.269583","5.235240","5.710283","5.316422","4.610794","5.455506","5.215246","5.172959","5.387708","4.498802","5.614585","5.459206"
"Dapma7bEVm001251","5.922899","4.829953","5.291420","5.355431","4.995774","4.954449","5.063643","5.236578","5.091516","4.744351","5.398934","5.678018","5.729524"
"Dapma7bEVm001252","8.042376","6.072519","7.014144","6.722345","7.026423","6.259506","5.530020","5.869429","6.272035","6.526907","6.320188","6.769487","6.733523"
"Dapma7bEVm001253","5.251355","4.781156","4.854535","4.642934","4.136699","4.231293","4.807227","4.777739","5.035926","4.733338","4.467201","4.679221","4.560916"
"Dapma7bEVm001254","11.287202","11.633312","11.300724"," 9.873722","11.239055","11.316017","10.999729","10.428832","11.398842","10.607818","10.882522"," 7.885673"," 7.093786"
"Dapma7bEVm001255","9.825655","7.986295","9.066456","8.324973","8.431640","7.752812","7.364565","8.025246","8.037126","8.085032","7.986491","8.674232","8.835833"
"Dapma7bEVm001256","7.383370","7.319090","7.695027","7.610803","7.303016","7.722005","7.670713","7.608632","7.592059","7.683956","7.617198","7.674705","7.575865"
"Dapma7bEVm001257","5.145653","5.348911","5.210629","5.502036","5.336814","5.127784","5.179550","5.135268","5.141341","5.311576","5.093449","5.551855","5.373061"
"Dapma7bEVm001258","6.113532","5.140784","5.618750","6.037970","5.624043","4.992528","5.522038","5.370604","5.258933","5.713600","6.231279","5.323342","5.488675"
"Dapma7bEVm001259","4.866293","4.787840","4.541764","4.419314","4.233095","4.585027","4.540881","4.270566","4.399606","4.612164","4.356180","3.132936","4.047267"
"Dapma7bEVm001260","7.323340","7.868615","7.311887","5.294601","6.940980","7.105455","7.004163","7.073333","7.147095","6.418865","5.965541","4.842882","4.551178"
"Dapma7bEVm001261","7.089480","6.863597","7.098124","6.918832","6.707932","6.901296","7.126164","7.017418","7.079265","6.823047","7.098504","7.224810","7.204115"
"Dapma7bEVm001262","6.625345","6.775793","6.502510","6.454075","6.393736","6.303809","6.544201","6.261346","6.639368","6.443484","6.185578","6.242735","6.262563"
"Dapma7bEVm001263","9.084361","9.073864","9.228442","8.824879","9.162212","8.960970","8.957570","8.929232","9.076327","8.936612","8.770140","9.383345","9.392716"
"Dapma7bEVm001264","12.10916","12.11548","12.06410","11.86697","12.02451","12.14120","12.08821","12.08355","12.14924","12.12665","11.98775","11.64823","11.71711"
"Dapma7bEVm001265","5.789719","6.070271","5.705747","5.890301","5.577041","5.726451","6.222444","6.078267","5.954565","6.117100","6.014851","6.274321","6.271092"
"Dapma7bEVm001266","7.874275","5.937417","6.981045","6.462407","6.300232","5.664664","5.737370","6.316411","6.195314","6.087136","5.848326","6.547429","6.608724"
"Dapma7bEVm001267","7.125933","6.920757","6.976769","7.118007","6.874162","6.966101","7.028784","7.031718","7.026671","6.926507","6.928470","6.989785","7.204360"
"Dapma7bEVm001269","4.061901","2.316512","3.857200","3.250654","3.517160","3.209603","3.317108","2.103379","4.187360","3.183651","3.291482","3.243616","3.235309"
"Dapma7bEVm001270","5.348525","5.263294","5.049202","5.638331","5.167364","5.263603","5.610426","5.136901","4.796314","5.397152","5.543234","5.777485","5.752451"
"Dapma7bEVm001271","5.777924","5.491693","5.597959","5.775199","5.186760","5.087310","5.333811","5.698556","5.470672","5.631501","5.870056","5.510876","5.597557"
