"","CK07","CK08","CK09","CK10","CK11","CK12","D01A1","D01A2","D01A3","D01A4","D01A5","D01A6","D02A1","D02A2","D02A3","D02A4","D02A5","D02A6","D03A1","D03A2","D03A3","D03A4","D03A5","D03A6","D04A1","D04A2","D04A3","D04A4","D04A5","D04A6","D05A1","D05A2","D05A3","D05A4","D05A5","D05A6","D06A1","D06A2","D06A3","D06A4","D06A5","D06A6","D07A1","D07A2","D07A3","D07A4","D07A5","D07A6","D08A1","D08A2","D08A3","D08A4","D08A5","D08A6","D09A1","D09A2","D09A3","D09A4","D09A5","D09A6","D10A1","D10A2","D10A3","D10A4","D10A5","D10A6","D11A1","D11A2","D11A3","D11A4","D11A5","D11A6","D12A1","D12A2","D12A3","D12A4","D12A5","D12A6"
"Dapma7bEVm010045",6.0314487028352,6.19586817973351,6.65125174368482,6.44109003142033,5.93222931742681,6.5358590799318,5.87716600255042,5.83308277368907,6.16754473536831,6.61934350346827,5.41637823978856,6.40272658388161,5.33161132169862,5.97083159528074,5.61887444736384,6.08467834294483,6.3199095156453,6.16176065357492,5.96620931128723,5.0244847012487,5.50902409781389,5.86852020170317,5.36050117722602,5.1398225111216,4.89853178130283,5.65175813266213,5.95472596168472,5.88657358482572,5.60779599566065,5.41449319077028,6.47482422324224,5.90852666860335,6.2445334414934,5.46195568264783,5.8940507369415,5.72853843442687,5.99387683465585,6.43906520439617,5.88927949900302,5.14610549016597,6.33002452458064,6.49063784436946,4.84735262736602,5.839822561358,5.61930836587426,5.93148275734442,5.51789811006529,5.68006845958909,5.66171281861892,6.08877294372573,5.91844786446646,5.71250998196296,6.25928149444422,6.21595427783611,6.3935314668267,5.27163766180548,5.57275452335049,6.07978534698678,5.39074817902797,6.2367258561607,4.73475962337529,5.71813288886911,6.64473077364413,5.24167357024521,6.09142093948711,6.35400146239524,5.90519114807784,5.35879299628035,5.20991946263928,5.92418748070168,5.30688863871491,5.36948071411134,5.49478861436833,5.96882324881362,4.62313108290498,5.09230007530232,5.92825026958718,5.4884544960593
"Dapma7bEVm019000",4.99238792145663,4.98933535300647,4.88375307419479,5.51594057087739,5.14302866647758,4.93894146896739,4.72798347456987,4.52196741678998,4.58634051511979,4.04422293440574,4.22641412914363,4.81311574108957,4.75039658671278,4.75961218262205,4.93855013834865,4.66835686056546,4.47977443560416,5.23021351902113,4.66044117522446,4.46191717286871,4.52700482292257,4.12276081822047,4.76128737991977,4.82769847827914,4.55443920601407,4.42677715548331,4.28684550167721,4.74340332903691,4.15256516336627,3.9040169583902,4.07039729462413,4.45059413062863,4.0859461107671,4.34875944007737,4.03306059647486,5.03870431004787,4.04627046016334,4.32970431639182,4.49106846136768,3.30134669288909,4.42874945124645,4.59286511934949,4.61170107389465,4.95470217244503,4.02400624042987,4.43775063454432,4.59242669446986,4.59487526641411,4.34680890528205,4.56544300036121,4.09864848126372,4.22217064678347,3.85234020687059,4.981545408609,4.33832011668883,4.10109434667209,4.63286045875747,4.77101476877106,4.77233620555336,5.04994456466854,4.05087921318109,4.20786893003377,4.33901400158952,4.38513593060705,5.00792567177751,4.26562042991373,4.95702608586313,4.77112375332073,3.98911422450473,4.25478954994237,4.55562411388186,3.43015706604768,4.77617575338228,4.68462530270705,3.94715824560596,4.58793534540718,4.68429828749805,4.8091179476304
"Dapma7bEVm001752",8.17223496014714,7.81023451066189,8.43083543814122,8.87183876485895,8.01212435017304,8.15797470446335,6.78058014170532,7.23841087359326,7.69538104514957,6.56585549869606,6.87697079092369,7.66176568845587,7.38020742811759,7.51856004704261,7.86196885025614,7.27221937312813,7.11758704917274,7.82718535165263,7.60786485869225,7.25490899576345,7.15108029910634,7.20838449352029,7.79903369031483,7.19305636880921,7.78990640589396,7.34637377852109,6.95236206509838,7.85006219923226,6.66592583867073,6.92542958219118,7.1282624625097,7.60878595467966,6.56374877485991,6.89074906686885,6.70148678275215,7.26946449400588,6.73566269790352,7.11886016567518,7.06624379660698,6.77289300144307,7.16800902118188,7.18266712474387,7.16151440343503,7.61703143646107,7.16439250058939,7.13360901333373,7.06814772982637,8.01572687789379,6.94460441333159,7.53179600474508,6.89881532326062,7.14287429089514,6.89863666671582,7.49473018830253,6.9512036064215,6.84702447215972,7.28473141486626,7.85767063235647,7.36892221086746,7.82679847958261,7.04561299266379,7.41113659844292,7.14703217120379,7.52217432939032,8.13252655737267,6.86646428686362,8.01560945526504,7.94883848480614,7.38886373047719,7.36242486799413,7.49873367859242,8.08349816614657,7.21171292568893,7.53382389079434,7.17687199638578,7.82839072652435,7.51691309519515,8.13802661545871
"Dapma7bEVm002744",9.04043268927858,9.25072656358215,8.82304180044326,10.0250649757668,8.97938525948518,9.55477876793677,8.27406790752252,8.63787647307304,8.53041940388581,7.20988466950633,7.79411932274522,8.21305065003115,8.76703403858953,8.86960588859759,8.26107888954001,8.31840776155105,8.38412247361801,8.96108398618371,8.58842328525224,8.87675579459523,8.78063606686287,7.42058714511488,8.7473073667991,8.34398103328372,7.42479095902232,8.61388482902503,8.24603266344908,8.8283977990552,8.0617424668995,7.59353358324257,8.00719273228467,9.01964573440092,8.13846607661844,6.97422603466044,7.55684731507036,8.90839643977304,8.15854034639518,7.98132315315759,8.03793514000473,7.67825817279925,9.16884254820146,8.21829647646183,8.29808893791973,8.46455120903269,8.35516532767315,7.9350660110965,7.99643850372013,9.01774800943717,7.39658001834707,9.15071508708449,7.50353382313097,8.28883507521823,8.19214339607099,8.68346331171964,8.07400023256085,7.46128371126165,8.49004187860986,8.3951540636336,8.60591412649349,8.55798745809861,8.57079571443171,8.67808352186989,8.3099234925448,7.97093584424091,9.34005544823269,7.99847933947507,8.93225128180283,8.99044616763441,8.87915527501429,8.32735763573541,8.61659217032598,8.99618415200699,8.76165595479113,8.69829015017606,7.53439698685127,9.13788235566877,8.86722711024521,9.04731610415214
"Dapma7bEVm009835",6.76248677858099,5.73682092389024,6.51580311025053,7.55697603262572,6.92090907574386,6.24134239172288,5.52878940058628,5.22602938838729,5.83158296186263,5.26095699057806,5.459427382848,5.8195446114314,5.62175019002725,6.2267227212316,6.55058283534672,5.5701324481451,5.42002016788665,6.35043954276423,6.08658780666867,5.76239821506739,6.01138098031861,5.92122659051724,5.98499899819837,5.62043503696547,6.18364883624058,5.75682244137048,6.04553230037632,6.29573775712801,5.89580050085852,5.54136625042636,5.80099493520173,6.47075875076511,5.48947835845757,5.53307582811793,5.67437354425554,5.94098833903938,5.33066823525612,5.38505518623297,5.75218776396871,5.73908709631584,5.4808493882383,5.74265173890545,5.94754530254729,6.24772058218517,5.73951446602899,5.61656382956521,5.52418122808512,6.55720098516012,5.63292799300029,5.9936553735458,5.37330028977481,5.40294970209395,5.51577918228856,5.22596313422255,5.50128928401514,5.43826629882395,5.23014432720865,6.22005577466931,5.97430707309524,6.55006774844427,5.48692885569852,5.84522301101192,5.61320290960795,5.78179794165023,6.8059989054388,5.3942224242757,6.24977779324141,6.12594412128487,5.6786626264869,5.42680886257431,6.01726714885708,7.03477381276971,5.9084109781386,6.13696602585726,5.21009655919958,5.69653285576572,6.29718983888337,6.38241231820924
"Dapma7bEVm009820",9.08858583413887,8.0359441472441,7.92441985515967,9.112154780381,8.8024445222257,8.36470336123526,7.44045781627797,7.36463760708068,7.67451724334314,7.10253886400563,7.20693213404426,7.93707882954792,7.75891779895309,7.95081706210562,8.07300158631717,7.88362188870449,7.62910748986108,8.51112409665593,7.96926708441061,7.52165638538451,7.2072921550872,7.67140507041217,8.06557640238697,7.40701155360125,8.30997776268518,8.27032363749329,7.72141883852142,8.70796865157839,7.87255054317453,7.02984997915139,6.75231757084992,8.06220861515913,6.778968053022,6.40083869826146,7.1603046243066,8.30516847348175,7.14639194681972,7.08870661667678,7.19994507341269,7.40169428145162,7.60114606111653,6.8866278259577,8.10631280108746,7.97671046407423,7.18298170204624,7.29052300949222,6.86212907018119,8.50426328424965,7.19502772062858,8.41043153485199,6.97850112329849,7.75431325794686,7.4592596326211,8.33487853896317,6.80336160584112,7.37013462186758,7.92322940013366,8.34151236568611,7.4950205170346,8.28632317212868,6.71715815292069,7.39955847733341,7.26686848536572,7.15907042401512,8.47010307138495,7.49547574392459,7.86689959553066,7.65785592725082,6.66380574517195,7.99759035264758,7.00681738103389,7.02708021349808,7.28940726636189,7.37044102001001,6.86949253152026,7.08701380774425,7.55304441976776,7.92779596089591
"Dapma7bEVm001866",5.450234969937,5.4925951730063,5.10322426442459,5.55513372153227,5.67343600080673,5.42960548637978,4.37948506247827,4.70979612087073,4.89048308882701,4.50497715173281,4.6004159731595,4.7365079822647,4.49741020616157,4.86635123366043,5.26653355473563,4.81618292047758,4.53607851640012,4.85839383141055,5.01779001148699,4.74307352557391,4.79011864665284,4.6013815630323,4.84789894728184,5.18101414631864,5.20543350497377,5.0011056205173,5.28007613585447,4.98519863110575,4.77258931764514,4.56819057566516,4.77167812668598,4.33002485891359,4.8884669763758,4.87587990446268,4.84532197268621,5.20764351690023,4.52338364931836,4.70690037470142,4.91189525103279,3.78815715317737,4.57272110268629,4.94714602471605,4.84108815252686,5.12094987782111,4.52729765774589,4.3362037889213,4.19843142205974,5.0309556888601,4.65508032397158,4.57650872389246,4.55449710272851,4.9604315278864,4.1229273860197,4.67036520673957,4.80212288234556,4.3471759641591,4.47203767720245,4.67481814983113,4.55957888142561,5.12689732823279,4.79964332572758,4.89930489852121,4.93878139644176,5.13529295379904,4.25023071369318,4.79277549964496,4.60416438929475,5.08046802304264,4.6759130958403,5.0172759819543,4.84916622333159,4.47666456925569,4.61960656627636,4.82772152530479,4.40383720063857,4.73006837907379,4.75166280919152,4.8437175735042
"Dapma7bEVm018418",7.30567753075081,6.52528431071605,6.46596497203882,7.62706328664719,7.07002713668745,6.80503064599184,5.83676611137504,6.13067875940721,6.3206284873651,5.71525975321222,6.20051305533057,6.91843084069352,5.76425623026118,6.38513411676748,6.46308693306965,6.48080852643946,6.12260377214788,6.32088398349932,6.51917871458142,5.97909787390541,6.14894156832769,5.92088427459349,6.5840091728789,5.72980012853184,6.53581005135194,5.97381085088598,6.23372283855734,6.83513591784414,5.76458255948208,5.94214915788947,6.49154639469603,6.23364096208802,5.99681504789531,5.50868935783302,5.78679014707324,6.46463140419108,5.53233123830634,5.56542436115499,5.65785711715933,6.04600786755362,6.10630550630292,6.29864047682222,6.48439244146459,6.46934280678052,6.13780945210864,6.07455996594101,5.86333949406969,6.47313115823285,5.74244837079897,6.34424862749612,5.61465539014151,5.90366299883768,5.65516886357474,6.16864564680062,5.80076608655201,5.83742324823844,6.26490350944418,6.42306675505758,6.13565738327417,6.51502441002367,5.710179328553,5.78147294570154,5.99765677958435,5.58940140373776,7.10876480936347,5.25604014716531,6.2601693082646,6.45135974526534,4.89670393296554,5.68678705626836,5.41709405901254,7.02801711938474,5.99873496974671,5.78352793204099,5.92587727705196,5.77443262765187,6.13211500793459,6.33758110873326
"Dapma7bEVm005775",9.3672969070673,8.42791607871231,8.81904537786871,9.66179094710129,9.13164313309659,8.68629464322761,7.85688234987749,8.0087549036016,7.98468471092215,7.59652164421599,7.52385618195402,8.51614960081352,8.38428920664472,8.73136241716329,8.57172421958618,8.43385539410891,8.10409184015647,9.62373477875961,8.85896408890731,8.38520863240066,7.79749659693026,7.94414599665579,8.77233852479953,7.77921146300328,8.57597900549709,8.1894577947107,8.3629244904418,8.87492688200798,7.82452597103371,6.8012030033578,7.72625510086489,8.08650734112175,7.86991609316868,7.15055203339519,7.35331223930852,8.84255819388304,7.75101749531165,7.07763679323084,8.02400231059518,7.6226993456884,8.40022675532349,7.88910706475165,8.14774916722787,8.72007214341527,8.04347133079836,7.78775987548361,7.44771772223761,8.43413176646506,7.69832284693475,8.0429846886851,7.23346527272828,8.7238466116227,7.73936404879008,8.57848777915669,7.67503115914289,7.84814576820245,8.09397252298061,8.32618413774515,8.31023730178735,8.26184562237208,7.06490851891138,7.73366416157889,8.14810339806326,7.8651025596348,8.71818409174004,7.36317005978856,8.18290742337393,8.42231807659215,6.97888195264732,7.75264877105185,7.16738203721626,8.19454112555392,8.16513646349124,8.17576870516124,7.15628603351938,7.86056547688133,8.71103437569847,8.555192416624
"Dapma7bEVm002637",8.46228751343123,7.69174921919805,7.91462243094211,8.45679864274834,8.42546349811431,8.31201047599631,6.92312009455131,6.37436948500399,8.13467911788316,6.70904869589949,6.71759651620001,7.57293082270911,7.07530059056458,7.17186074771421,8.01790591780018,7.81972327145157,6.98296946883011,8.39286668649402,8.08486831382228,7.23845853336814,6.48196115737359,7.30539343642265,7.48832753896992,7.91755117923185,7.31647617649269,7.08161352659419,6.87000628316097,7.34699358239604,6.85033029095211,6.68809041958985,7.01438677134743,8.23205949693396,6.48643126298113,6.54901088860332,6.61860556025528,7.94366113778006,6.50274606527489,6.58247240697672,6.5709038142849,6.85887395546024,6.60325672038443,6.87816574915458,6.98379429617777,7.47186782223092,6.34702074856583,6.47983537687693,6.61286329513768,7.9003289885894,6.94993966516414,6.82589157856689,6.32696057492885,7.02969639095997,6.95416341243212,7.11053222141326,6.77770655281221,6.63983109012135,6.81848746851816,7.41740537018305,7.44751983922884,7.77211191441098,6.55689358982741,6.66575300169882,6.51850936901485,7.97239237314874,8.3283811209132,6.62856456747554,7.47950633727086,8.25267635484253,6.31208182335117,7.53934866150691,7.08326523283928,8.23005796372486,7.32091181010434,7.49131803559918,6.55483098065105,7.47440946356071,8.02964148434189,8.17347598020513
